id,code,name,procedure_id/id,is_process_map,active
__import__.quality_doc_strategic_comunicacio,,Pla de comunicació,__import__.quality_procedure_pe2_01,0,1
__import__.quality_doc_strategic_manteniment,,Pla de manteniment,__import__.quality_procedure_ps2_05,0,1
__import__.quality_doc_strategic_manteniment_tic,,Pla de manteniment informàtic,__import__.quality_procedure_ps2_04,0,1
__import__.quality_doc_strategic_formacio,,Pla de formació,__import__.quality_procedure_ps1_04,0,1
__import__.quality_doc_strategic_dossier,,Dossier del professorat i tutors,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_strategic_projecte_direccio,,Projecte de direcció 2024-2028,__import__.quality_procedure_pe1_01,0,1
__import__.quality_doc_strategic_pga,,Programació general anual (PGA),__import__.quality_procedure_pe1_02,0,1
__import__.quality_doc_strategic_memoria,,Memòria anual,__import__.quality_procedure_pe1_02,0,1
__import__.quality_doc_strategic_memoria_mandat,,Memòria de mandat,__import__.quality_procedure_pe1_01,0,1
__import__.quality_doc_strategic_carta_compromis,,Carta de compromís educatiu,__import__.quality_procedure_pe2_01,0,1
__import__.quality_doc_strategic_carta_serveis_eso,,Carta de serveis d'ESO,__import__.quality_procedure_pe2_01,0,1
__import__.quality_doc_strategic_carta_serveis_btx,,Carta de serveis de batxillerat,__import__.quality_procedure_pe2_01,0,1
__import__.quality_doc_strategic_carta_serveis_ccff,,Carta de serveis de cicles formatius,__import__.quality_procedure_pe2_01,0,1
__import__.quality_doc_strategic_politica_qualitat,,Política de qualitat,__import__.quality_procedure_pe3_01,0,1
