id,active,name,parent_id:id
"hr.dep_administration",0,"Administration",""
"department_vet",1,"VET",""
"department_cs",1,"Computer Science","ims.department_vet"
"department_administration",1,"Administration and management","ims.department_vet"
"department_esobtx",1,"ESO / BTX",""
"department_tecno",1,"Tecnology","ims.department_esobtx"
"department_asp",1,"ASP",""
"department_secretariat",1,"Secretariat","ims.department_asp"
"department_conciergerie",1,"Conciergerie","ims.department_asp"
